id;variant_code;name_ar;name_en;barcode;cost_price;sale_price;total_quantity;total_sale_price;total_cost_price;صناع السعاده / سان ستيفانو
16261;;بيلميو كبسولات كراميل 52 جم * 10 ق;بيلميو كبسولات كراميل 52 جم * 10 ق;5415150353114;0.00;0.00;0;0.00;0.00;0
16260;;بيلميو كبسولات بندق 52 جم * 10 ق;بيلميو كبسولات بندق 52 جم * 10 ق;5415150353619;0.00;0.00;0;0.00;0.00;0
16259;;بيلميو كبسولات كولومبيا 52 جم * 10 ق;بيلميو كبسولات كولومبيا 52 جم * 10 ق;5415150352513;0.00;0.00;0;0.00;0.00;0
16258;;بيلميو كبسولات سبريسو دارك روست 52 جم * 10 ق;بيلميو كبسولات سبريسو دارك روست 52 جم * 10 ق;5415150352414;0.00;0.00;0;0.00;0.00;0
16257;;بيلميو كبسولات ريستريتو 52 جم * 10 ق;بيلميو كبسولات ريستريتو 52 جم * 10 ق;5415150352315;0.00;0.00;0;0.00;0.00;0
16256;;بيلميو كبسولات فيف لا فانيلا 52 جم * 10 ق;بيلميو كبسولات فيف لا فانيلا 52 جم * 10 ق;5415150353015;0.00;0.00;0;0.00;0.00;0
16255;;بيلميو كبسولات لونجو دليكاتو 52 جم * 10 ق;بيلميو كبسولات لونجو دليكاتو 52 جم * 10 ق;5415150351813;0.00;0.00;0;0.00;0.00;0
16254;;سبريد جيف زبدة فول سوداني ناعم 454 جم * 12 ق;سبريد جيف زبدة فول سوداني ناعم 454 جم * 12 ق;051500369043;0.00;0.00;0;0.00;0.00;0
16253;;جولون ميجا ديو اسطوانة فانيليا 500 جم * 20 ق;جولون ميجا ديو اسطوانة فانيليا 500 جم * 20 ق;8410376036862;0.00;0.00;0;0.00;0.00;0
16252;;جولون ميجا ديو اسطوانة دابل تيمتيشن 500 جم * 20 ق;جولون ميجا ديو اسطوانة دابل تيمتيشن 500 جم * 20 ق;8410376044409;0.00;0.00;0;0.00;0.00;0
16251;;لبان منتوس فواكه 37 جم * 8 ع * 24 ق;لبان منتوس فواكه 37 جم * 8 ع * 24 ق;8990800100050;0.00;0.00;0;0.00;0.00;0
16250;;لبان منتوس نعناع 37 جم * 8 ع * 24 ق;لبان منتوس نعناع 37 جم * 8 ع * 24 ق;8990800100012;0.00;0.00;0;0.00;0.00;0
16249;;لبان منتوس خرخ برتقال 37 جم * 8 ع * 24 ق;لبان منتوس خرخ برتقال 37 جم * 8 ع * 24 ق;8990800023960;0.00;0.00;0;0.00;0.00;0
16248;;برو بروتين بار فانليا 70 جم  * 12 ع  * 12 ق;برو بروتين بار فانليا 70 جم  * 12 ع  * 12 ق;6224010466258;0.00;0.00;0;0.00;0.00;0
16247;;درايد فواكه مجففة مانجو  100 جم *36 ق;درايد فواكه مجففة مانجو  100 جم *36 ق;795697093557;0.00;0.00;0;0.00;0.00;0
16246;;بسكون ويفر جوفريت توركو اكسترا الكاكاو26جم * 6 ع * 24 ق;بسكون ويفر جوفريت توركو اكسترا الكاكاو26جم * 6 ع * 24 ق;8690120132648;0.00;0.00;0;0.00;0.00;0
16245;;شوكولاتة  توركو 4*4 سوداني 32 جم * 6 ع * 24 ق;شوكولاتة  توركو 4*4 سوداني 32 جم * 6 ع * 24 ق;8690120095516;0.00;0.00;0;0.00;0.00;0
16244;;شوكولاتة  توركو 4*4 كراميل 40 جم * 6 ع * 24 ق;شوكولاتة  توركو 4*4 كراميل 40 جم * 6 ع * 24 ق;8690120047775;0.00;0.00;0;0.00;0.00;0
16243;;قهوة بوربون كلاسيك 250 جم * 20 ق;قهوة بوربون كلاسيك 250 جم * 20 ق;8000070083134;0.00;0.00;0;0.00;0.00;0
16242;;شوكوبن بزازة هابي ميكس 30 جم * 4 ع * 25 ق;شوكوبن بزازة هابي ميكس 30 جم * 4 ع * 25 ق;6224003030329;0.00;0.00;0;0.00;0.00;0
16241;;شوكو دانس 125 جرام 4 علبة 12 قطعة;شوكو دانس 125 جرام 4 علبة 12 قطعة;8691707135106;0.00;0.00;0;0.00;0.00;0
16240;;لوبو كیك مارشیملو كريز 182 جرام 12 قطعه;لوبو كیك مارشیملو كريز 182 جرام 12 قطعه;8691707059044;0.00;0.00;0;0.00;0.00;0
16239;;لوبو كیك دارك 184 جرام 12 قطعة;لوبو كیك دارك 184 جرام 12 قطعة;8699141059125;0.00;0.00;0;0.00;0.00;0
16238;;لوبو كیك میلك 184 جرام 12 قطعة;لوبو كیك میلك 184 جرام 12 قطعة;8699141059101;0.00;0.00;0;0.00;0.00;0
16237;;شولن كريس كروس 15 جم 12 ع 24 ق;شولن كريس كروس 15 جم 12 ع 24 ق;8691707091853;0.00;0.00;0;0.00;0.00;0
16236;;شولن جوكي ويفر مغطي 20 جم 12 علبه 24 ق;شولن جوكي ويفر مغطي 20 جم 12 علبه 24 ق;8691707091556;0.00;0.00;0;0.00;0.00;0
16235;;شولن وينیرجي سوداني نوجا 18 جم 12 ع 24 ق;شولن وينیرجي سوداني نوجا 18 جم 12 ع 24 ق;8691707038919;0.00;0.00;0;0.00;0.00;0
16234;;امادا ستیكس 32 جرام جوز ھند 4 ع 12 ق;امادا ستیكس 32 جرام جوز ھند 4 ع 12 ق;8691707140025;0.00;0.00;0;0.00;0.00;0
16233;;شولن لامونت ويفر فانیلیا 43 جرام 6 علبة 24 قطعه;شولن لامونت ويفر فانیلیا 43 جرام 6 علبة 24 قطعه;8691707098524;0.00;0.00;0;0.00;0.00;0
16232;;شولن لامونت ويفر شیكولاتة 43 جرام 6 علبة 24 قطعه;شولن لامونت ويفر شیكولاتة 43 جرام 6 علبة 24 قطعه;8691707098500;0.00;0.00;0;0.00;0.00;0
16231;;دافي دوف فاين;دافي دوف فاين;4061445226703;0.00;0.00;0;0.00;0.00;0
16230;;دافي دوف لونج;دافي دوف لونج;4061445226741;0.00;0.00;0;0.00;0.00;0
16229;;دافي دوف كارميل;دافي دوف كارميل;4061445226727;0.00;0.00;0;0.00;0.00;0
16228;;دافي دوف دارك;دافي دوف دارك;4061445226666;0.00;0.00;0;0.00;0.00;0
16227;;هيلثي سبريد دوريف اوريجينال بندق 200 جم * 16 ق;هيلثي سبريد دوريف اوريجينال بندق 200 جم * 16 ق;6225000963924;115.00;132.00;0;0.00;0.00;0
16226;;هيلثي سبريد دوريف فيجان بندق 200 جم * 16 ق;هيلثي سبريد دوريف فيجان بندق 200 جم * 16 ق;6225000963979;115.00;132.00;0;0.00;0.00;0
16225;;هيلثي سبريد دوريف كيدز بندق 200 جم * 16 ق;هيلثي سبريد دوريف كيدز بندق 200 جم * 16 ق;6225000963948;115.00;132.00;0;0.00;0.00;0
16224;;هيلثي سبريد دوريف بروتين بندق 200 جم * 16 ق;هيلثي سبريد دوريف بروتين بندق 200 جم * 16 ق;6225000963962;115.00;132.00;0;0.00;0.00;0
16223;;هيلثي سبريد دوريف اوريجينال بندق 350 جم * 12 ق;هيلثي سبريد دوريف اوريجينال بندق 350 جم * 12 ق;6225000963917;175.00;197.37;0;0.00;0.00;0
16222;;هيلثي سبريد دوريف فيجان بندق 350 جم * 12 ق;هيلثي سبريد دوريف فيجان بندق 350 جم * 12 ق;6225000964006;175.00;197.37;0;0.00;0.00;0
16221;;هيلثي سبريد دوريف كيدز بندق 350 جم * 12 ق;هيلثي سبريد دوريف كيدز بندق 350 جم * 12 ق;6225000963931;175.00;197.37;0;0.00;0.00;0
16220;;هيلثي سبريد دوريف بروتين بندق 350 جم * 12 ق;هيلثي سبريد دوريف بروتين بندق 350 جم * 12 ق;6225000963955;175.00;197.37;0;0.00;0.00;0
16219;;نودلز سام يانج تانجلي مشروم;نودلز سام يانج تانجلي مشروم;8801073116832;0.00;0.00;0;0.00;0.00;0
16218;;نودلز سام يانج تانجلي ثوم;نودلز سام يانج تانجلي ثوم;8801073116849;0.00;0.00;0;0.00;0.00;0
16217;;مقرمشات ناتشوز تورتيلا فلفل حار 100 جم  * 12 ق;مقرمشات ناتشوز تورتيلا فلفل حار 100 جم  * 12 ق;6225000663985;0.00;0.00;0;0.00;0.00;0
16216;;مقرمشات ناتشوز تورتيلا جبنة 100 جم  * 12 ق;مقرمشات ناتشوز تورتيلا جبنة 100 جم  * 12 ق;6225000663961;0.00;0.00;0;0.00;0.00;0
16215;;مقرمشات ناتشوز تورتيلا فلفل حلو 100 جم  * 12 ق;مقرمشات ناتشوز تورتيلا فلفل حلو 100 جم  * 12 ق;6225000663978;0.00;0.00;0;0.00;0.00;0
16214;;مقرمشات ناتشوز تورتيلا ملح 100 جم  * 12 ق;مقرمشات ناتشوز تورتيلا ملح 100 جم  * 12 ق;6225000663992;0.00;0.00;0;0.00;0.00;0
16213;;مقرمشات ناتشوز ديناميت  60 جم * 12 ق;مقرمشات ناتشوز ديناميت  60 جم * 12 ق;6225000663930;0.00;0.00;0;0.00;0.00;0
16212;;شوكولاتة روشين جوز هند ولوز 38 جم * 6 ع * 30 ق;شوكولاتة روشين جوز هند ولوز 38 جم * 6 ع * 30 ق;4823077639449;0.00;0.00;0;0.00;0.00;0
16211;;شوكولاتة روشين دبل سوداني 38 جم * 6 ع * 30 ق;شوكولاتة روشين دبل سوداني 38 جم * 6 ع * 30 ق;4823077639852;0.00;0.00;0;0.00;0.00;0
16210;;شوكولاتة روشين كراميل 38 جم * 6 ع * 30 ق;شوكولاتة روشين كراميل 38 جم * 6 ع * 30 ق;4823077617041;0.00;0.00;0;0.00;0.00;0
16209;;شوكولاتة روشين كرسبي وسوداني 38 جم * 6 ع * 30 ق;شوكولاتة روشين كرسبي وسوداني 38 جم * 6 ع * 30 ق;4823077632259;0.00;0.00;0;0.00;0.00;0
16208;;بسكوت روشين روشيتو ويفر سوداني  34 جم * 8 ع * 25 ق;بسكوت روشين روشيتو ويفر سوداني  34 جم * 8 ع * 25 ق;4823077640377;0.00;0.00;0;0.00;0.00;0
16207;;بسكوت روشين روشيتو ويفر دارك  34 جم * 8 ع * 25 ق;بسكوت روشين روشيتو ويفر دارك  34 جم * 8 ع * 25 ق;4823077633508;0.00;0.00;0;0.00;0.00;0
16206;;بسكوت روشين روشيتو ويفر ميلك  34 جم * 8 ع * 25 ق;بسكوت روشين روشيتو ويفر ميلك  34 جم * 8 ع * 25 ق;4823077633515;0.00;0.00;0;0.00;0.00;0
16205;;بسكوت روشين ويفر بندق  72 جم * 22 ق;بسكوت روشين ويفر بندق  72 جم * 22 ق;4823077621659;0.00;0.00;0;0.00;0.00;0
16204;;بسكوت روشين ويفر ميلك  72 جم * 22 ق;بسكوت روشين ويفر ميلك  72 جم * 22 ق;4823077621635;0.00;0.00;0;0.00;0.00;0
16203;;بسكوت روشين ويفر كاكاو  72 جم * 22 ق;بسكوت روشين ويفر كاكاو  72 جم * 22 ق;4823077641329;0.00;0.00;0;0.00;0.00;0
16202;;بسكوت روشين ويفر ميلك  216 جم * 16 ق;بسكوت روشين ويفر ميلك  216 جم * 16 ق;4823077625589;0.00;0.00;0;0.00;0.00;0
16201;;بسكوت روشين ويفر كاكاو  ميلك 216 جم * 16 ق;بسكوت روشين ويفر كاكاو  ميلك 216 جم * 16 ق;4823077632112;0.00;0.00;0;0.00;0.00;0
16200;;بسكوت روشين ويفر بندق  216 جم * 16 ق;بسكوت روشين ويفر بندق  216 جم * 16 ق;4823077625626;0.00;0.00;0;0.00;0.00;0
16199;;بسكوت روشين ويفر كاكاو  216 جم * 16 ق;بسكوت روشين ويفر كاكاو  216 جم * 16 ق;4823077641312;0.00;0.00;0;0.00;0.00;0
16198;;كوكيز روشين لوفيتا جيلي ليمون 152 جم * 21 ق;كوكيز روشين لوفيتا جيلي ليمون 152 جم * 21 ق;4823077646287;0.00;0.00;0;0.00;0.00;0
16197;;كوكيز روشين لوفيتا جيلي كاكاو دارك 152 جم * 21 ق;كوكيز روشين لوفيتا جيلي كاكاو دارك 152 جم * 21 ق;4823077646294;0.00;0.00;0;0.00;0.00;0
16196;;كوكيز روشين لوفيتا جيلي جوز هند 152 جم * 21 ق;كوكيز روشين لوفيتا جيلي جوز هند 152 جم * 21 ق;4823077646270;0.00;0.00;0;0.00;0.00;0
16195;;روشين 80 جرام;روشين 80 جرام;4823077632532;0.00;0.00;0;0.00;0.00;0
16194;;روشين 80 جم;روشين 80 جم;4823077626227;0.00;0.00;0;0.00;0.00;0
16193;;كيك تايم هاي هاي برطمان كاكاو 10 جم * 12 ع * 48 ق;كيك تايم هاي هاي برطمان كاكاو 10 جم * 12 ع * 48 ق;8691066112350;0.00;0.00;0;0.00;0.00;0
16192;;كيك تايم هاي هاي برطمان جوز هند 10 جم * 12 ع * 48 ق;كيك تايم هاي هاي برطمان جوز هند 10 جم * 12 ع * 48 ق;8691066216836;0.00;0.00;0;0.00;0.00;0
16191;;كيك تايم هاي هاي برطمان كراميل 10 جم * 12 ع * 48 ق;كيك تايم هاي هاي برطمان كراميل 10 جم * 12 ع * 48 ق;8691066260037;0.00;0.00;0;0.00;0.00;0
16190;;كيك تايم هاي هاي برطمان فراولة 10 جم * 12 ع * 48 ق;كيك تايم هاي هاي برطمان فراولة 10 جم * 12 ع * 48 ق;8691066264936;0.00;0.00;0;0.00;0.00;0
16189;;جويس دروب بوب بازوكا كولا 26 جم * 12 ق;جويس دروب بوب بازوكا كولا 26 جم * 12 ق;5011053027413;0.00;0.00;0;0.00;0.00;0
16188;;جويس دروب بوب بازوكا فراولة 26 جم * 12 ق;جويس دروب بوب بازوكا فراولة 26 جم * 12 ق;5011053027352;0.00;0.00;0;0.00;0.00;0
16187;;لبان منتوس بيور برطمان ازرق سترونج 60 جم * 4 ع * 6 ق;لبان منتوس بيور برطمان ازرق سترونج 60 جم * 4 ع * 6 ق;80983347;0.00;0.00;0;0.00;0.00;0
16186;;لبان منتوس بيور برطمان ابيض 60 جم * 4 ع * 6 ق;لبان منتوس بيور برطمان ابيض 60 جم * 4 ع * 6 ق;80848271;0.00;0.00;0;0.00;0.00;0
16185;;لبان منتوس بيور برطمان وردي 60 جم * 4 ع * 6 ق;لبان منتوس بيور برطمان وردي 60 جم * 4 ع * 6 ق;80877653;0.00;0.00;0;0.00;0.00;0
16184;;توفي ترافيلز فودج شوكليت كراميل 900 جم * 10 ق;توفي ترافيلز فودج شوكليت كراميل 900 جم * 10 ق;5902431563527;0.00;0.00;0;0.00;0.00;0
16183;;سناكس مينى تاكيس  فلفل حار بلو هيت 35 جم * 5 ع * 25 ق ;سناكس مينى تاكيس  فلفل حار بلو هيت 35 جم * 5 ع * 25 ق ;1004000;0.00;61.40;0;0.00;0.00;0
16182;;كاندي جوجو جيلي ساور ستيك فواكه استوائيه 30 جم;Candy JOJO Gelly Sour Stick Tropical Fruits 30g;8690997019080;0.00;0.00;0;0.00;0.00;0
16181;;كاندي جوجو جيلي ساور ستيك فواكه 30 جم;Candy JOJO Gelly Sour Stick Fruits 30g;8690997019127;0.00;0.00;0;0.00;0.00;0
16180;;كاندي جوجو جيلي ساور ستيك فراولة 30 جم;Candy JOJO Gelly Sour Stick Strawberry 30g;8690997019097;0.00;0.00;0;0.00;0.00;0
16179;;كاندي جوجو جيلي ساور ستيك كولا 30 جم;Candy JOJO Gelly Sour Stick Cola 30g;8690997019103;0.00;0.00;0;0.00;0.00;0
16178;;كاندي جوجو جيلي ساور ستيك توت 30 جم;Candy JOJO Gelly Sour Stick Raspberry 30g;8690997019110;0.00;0.00;0;0.00;0.00;0
16177;;كاندي جوجو جيلي ساور بنسل فراولة 80 جم;Candy JOJO Gelly Sour Pencil Strawberry 80g;8684493000215;0.00;0.00;0;0.00;0.00;0
16176;;كاندي جوجو جيلي  ساور  بنسل الوان  80 جم;Candy JOJO Gelly Sour Pencil Multicolor 80g;8684493000222;0.00;0.00;0;0.00;0.00;0
16175;;كاندي جوجو جيلي كولا ساور80 جم;Candy JOJO Gelly Cola Sour  80g;8693323437121;0.00;0.00;0;0.00;0.00;0
16174;;كاندي جوجو جيلي رينجز ساور 80 جم;Candy JOJO Gelly Rings Sour  80g;8693323437114;0.00;0.00;0;0.00;0.00;0
16173;;كاندي جوجو جيلي وورمز ساور 80 جم;Candy JOJO Gelly Worms Sour  80g;8684493000642;0.00;0.00;0;0.00;0.00;0
16172;;كاندي جوجو جيلي اسنان 80 جم;Candy JOJO Gelly theeth  80g;8698644465143;0.00;0.00;0;0.00;0.00;0
16171;;كاندي جوجو جيلي وورمز 80 جم;Candy JOJO Gelly Worms 80g;8698644465136;0.00;0.00;0;0.00;0.00;0
16170;;كاندي جوجو جيلي وورمز 80 جم;Candy JOJO Gelly Worms 80g;8693323437107;0.00;0.00;0;0.00;0.00;0
16169;;كاندي جوجو جيلي كولا 80 جم;Candy JOJO Gelly Cola 80g;8698644465129;0.00;0.00;0;0.00;0.00;0
16168;;كاندي جوجو جيلي فراولة 80 جم;Candy JOJO Gelly Strawberry 80g;8693323437138;0.00;0.00;0;0.00;0.00;0
16167;;كاندي جوجو جيلي بيرز جيلي 80 جم;Candy JOJO Gelly Bears 80g;8698644465112;0.00;0.00;0;0.00;0.00;0
16166;;سناكس مينى تاكيس  فلفل حار بلو هيت 35 جم * 5 ع * 25 ق ;سناكس مينى تاكيس  فلفل حار بلو هيت 35 جم * 5 ع * 25 ق ;104000;48.00;61.40;0;0.00;0.00;0
16165;;"ليندت بار لوز 100 جم * 20 ق	";"ليندت بار لوز 100 جم * 20 ق	";3046920015752;0.00;0.00;0;0.00;0.00;0
16164;;ليندات ديزات 70%;ليندات ديزات 70%;3046920021043;0.00;0.00;0;0.00;0.00;0
16163;;ليندات ديزات 51%;ليندات ديزات 51%;3046920021142;0.00;0.00;0;0.00;0.00;0
16162;;ليندت كريشن نعناع 150 جم;ليندت كريشن نعناع 150 جم;3046920047364;0.00;0.00;0;0.00;0.00;0
16161;;كيك فوكو فسدق  30 جم  * 6 ع  * 24 ق;كيك فوكو فسدق  30 جم  * 6 ع  * 24 ق;8684952044149;7.50;8.77;0;0.00;0.00;0
16160;;كيك فوكو كرامل  30 جم  * 6 ع  * 24 ق;كيك فوكو كرامل  30 جم  * 6 ع  * 24 ق;8684952044132;0.00;0.00;0;0.00;0.00;0
16159;;كيك فوكو شكولاته  30 جم  * 6 ع  * 24 ق;كيك فوكو شكولاته  30 جم  * 6 ع  * 24 ق;8684952044156;0.00;0.00;0;0.00;0.00;0
16158;;بسكوت فوكو شكولاته  50 جم  * 6 ع  * 24 ق;بسكوت فوكو شكولاته  50 جم  * 6 ع  * 24 ق;8684952044262;11.32;15.00;0;0.00;0.00;0
16157;;بسكوت فوكو فسدق  50 جم  * 6 ع  * 24 ق;بسكوت فوكو فسدق  50 جم  * 6 ع  * 24 ق;8684952044255;11.32;15.00;0;0.00;0.00;0
16156;;بسكوت فوكو فروله  50 جم  * 6 ع  * 24 ق;بسكوت فوكو فروله  50 جم  * 6 ع  * 24 ق;8684952044279;11.32;15.00;0;0.00;0.00;0
16155;;ليندات كرىشن;ليندات كرىشن;3046920014311;0.00;0.00;0;0.00;0.00;0
16154;;ليندات بار 85%;ليندات بار 85%;3046920022606;0.00;0.00;0;0.00;0.00;0
16153;;ليندت بار كرييشن روشيه بندق  110 جم *  16  ق;ليندت بار كرييشن روشيه بندق  110 جم *  16  ق;3046920025980;0.00;0.00;0;0.00;0.00;0
16152;;ليندت بار كرييشن روشيه لوز  110 جم *  16  ق;ليندت بار كرييشن روشيه لوز  110 جم *  16  ق;3046920026000;0.00;0.00;0;0.00;0.00;0
16151;;ليندت بار كرييشن روشيه بسكوت و بندق 150 جم * 14 ق;ليندت بار كرييشن روشيه بسكوت و بندق 150 جم * 14 ق;3046920013833;0.00;0.00;0;0.00;0.00;0
16150;;ليندت بار كرييشن روشيه فسدق 150 جم * 14 ق;ليندت بار كرييشن روشيه فسدق 150 جم * 14 ق;3046920020183;0.00;280.70;0;0.00;0.00;0
16149;; ليندت شوكولاته بندق ميلك  150جم * 8 ق; ليندت شوكولاته بندق ميلك  150جم * 8 ق;8003340807447;0.00;0.00;0;0.00;0.00;0
16148;; ليندت شوكولاته بندق مشكل  150جم * 8 ق; ليندت شوكولاته بندق مشكل  150جم * 8 ق;8003340807553;0.00;0.00;0;0.00;0.00;0
16147;; ليندت شوكولاته بندق درك  150جم * 8 ق; ليندت شوكولاته بندق درك  150جم * 8 ق;8003340807546;0.00;0.00;0;0.00;0.00;0
16146;;ليندت ليندور كور مشكل  337  جم * 6 ق;ليندت ليندور كور مشكل  337  جم * 6 ق;8003340805306;0.00;0.00;0;0.00;0.00;0
16145;;ليندت ليندور كور مشكل ثلج 337  جم * 6 ق;ليندت ليندور كور مشكل ثلج 337  جم * 6 ق;8003340805757;0.00;0.00;0;0.00;0.00;0
16144;;ليندت ليندور كور درك مشكل 337  جم * 6 ق;ليندت ليندور كور درك مشكل 337  جم * 6 ق;8003340098425;0.00;0.00;0;0.00;0.00;0
16143;;ليندت ليندور كور ابيض 200 جم * 12 ق;ليندت ليندور كور ابيض 200 جم * 12 ق;8003340801353;0.00;0.00;0;0.00;0.00;0
16142;;ليندت ليندور كور 70% 200 جم * 12 ق;ليندت ليندور كور 70% 200 جم * 12 ق;8003340095776;0.00;0.00;0;0.00;0.00;0
16141;;ليندت ليندور كور بندق 200 جم * 12 ق;ليندت ليندور كور بندق 200 جم * 12 ق;8003340092157;0.00;0.00;0;0.00;0.00;0
16140;;ليندت ليندور كور مشكل 200 جم * 12 ق;ليندت ليندور كور مشكل 200 جم * 12 ق;8003340097275;0.00;0.00;0;0.00;0.00;0
16139;;بن محمد افندي قهوة تركي اسبرسو250 جم * 12 ق;بن محمد افندي قهوة تركي اسبرسو250 جم * 12 ق;8690627000945;257.57;289.47;0;0.00;0.00;0
16138;;بن محمد افندي قهوة تركي برازيلي 250 جم * 12 ق;بن محمد افندي قهوة تركي برازيلي 250 جم * 12 ق;8690627000921;257.57;289.47;0;0.00;0.00;0
16137;;بن محمد افندي قهوة تركي كولومبي 250 جم * 12 ق;بن محمد افندي قهوة تركي كولومبي 250 جم * 12 ق;8690627000549;257.57;289.47;0;0.00;0.00;0
16136;;صوص ماجيك فراوله 180 مل * 24 ق;صوص ماجيك فراوله 180 مل * 24 ق;6223000228678;0.00;0.00;0;0.00;0.00;0
16135;;صوص ماجيك توت 180 مل * 24 ق;صوص ماجيك توت 180 مل * 24 ق;6223000228685;0.00;0.00;0;0.00;0.00;0
